# posix time,TBV (K),TBH (K),Soil Moisture (m^3/m^3),Tau (-),T_IR (K),T_RS (K),T_ACS (K),T_Ant1 (K),T_Ant2 (K),u_RS (mV),u_ACS (mV),u_V (mV),u_H (mV),STDOM(u_RS) (mV),STDOM(u_ACS) (mV),STDOM(u_V) (mV),STDOM(u_H) (mV),Gain (K/mV),Offset (K),TBV Residual (K),TBH Residual (K),Cost Function Value (K^2)
1.655414223089999914e+09,7895.535,6525.195,0.000,nan,273.150,306.340,305.840,309.960,296.090,1119.708,1064.029,2238.733,1999.443,1.460,1.350,0.620,1.150,5.1683,-5480.6768,-7612.704,-6242.364,96920378.148
1.655414223160000086e+09,7877.945,6510.556,0.000,nan,273.150,306.340,305.840,309.960,296.090,1119.667,1063.855,2238.767,1999.429,1.530,1.570,0.600,1.130,5.1560,-5466.6636,-7595.114,-6227.726,96470323.800
1.655414223220000029e+09,7833.536,6483.267,0.000,nan,273.150,306.340,305.840,310.090,296.090,1119.971,1063.840,2238.862,2000.867,1.670,1.350,0.680,1.080,5.1267,-5435.4338,-7550.705,-6200.437,95458560.917
1.655414223279999971e+09,7978.490,6608.980,0.000,nan,273.150,306.340,305.840,310.090,296.090,1119.381,1064.295,2238.598,2001.480,1.190,1.240,0.720,1.140,5.2239,-5541.2244,-7695.659,-6326.149,99243337.766
1.655414223349999905e+09,7959.181,6599.351,0.000,nan,273.150,306.340,305.840,310.090,296.090,1119.665,1064.459,2238.491,2002.330,1.350,1.420,0.540,1.540,5.2126,-5530.0243,-7676.350,-6316.520,98824773.479
1.655414223410000086e+09,7912.727,6577.619,0.000,nan,273.150,306.340,305.840,310.090,296.090,1119.492,1063.952,2238.267,2004.440,1.290,1.300,0.520,1.510,5.1812,-5493.9698,-7629.896,-6294.788,97839667.134
1.655414223470000029e+09,7769.368,6471.429,0.000,nan,273.150,306.340,305.840,310.020,296.090,1119.674,1063.088,2238.017,2006.007,1.460,1.710,0.700,1.160,5.0855,-5387.7655,-7486.537,-6188.598,94346973.487
1.655414223539999962e+09,7833.800,6527.269,0.000,nan,273.150,306.340,305.840,310.020,296.150,1119.635,1063.556,2237.547,2005.999,1.460,1.640,0.700,1.500,5.1314,-5438.9457,-7550.969,-6244.438,96010141.414
1.655414223599999905e+09,7904.820,6587.921,0.000,nan,273.150,306.340,305.840,310.020,296.150,1119.307,1063.739,2237.472,2006.148,1.550,1.170,0.680,1.150,5.1786,-5490.1428,-7621.989,-6305.090,97848888.229
1.655414223660000086e+09,7896.720,6585.317,0.000,nan,273.150,306.340,305.840,310.020,296.150,1119.852,1064.242,2237.663,2006.990,1.490,1.390,0.720,1.260,5.1747,-5488.6144,-7613.889,-6302.486,97692636.219
1.655414223720000029e+09,7961.053,6632.678,0.000,nan,273.150,306.340,305.840,309.960,296.150,1118.647,1063.480,2236.964,2005.366,1.490,0.840,0.560,1.340,5.2162,-5528.8009,-7678.222,-6349.847,99275657.547
1.655414223789999962e+09,7941.126,6607.718,0.000,nan,273.150,306.340,305.840,309.960,296.020,1119.528,1064.216,2237.860,2005.065,1.520,1.100,0.560,0.940,5.2026,-5518.1204,-7658.295,-6324.887,98653675.672
1.655414223849999905e+09,7857.402,6548.903,0.000,nan,273.150,306.340,305.770,309.960,296.020,1119.584,1063.559,2239.802,2008.079,1.160,1.390,0.750,1.020,5.1369,-5444.8277,-7574.571,-6266.072,96637789.682
1.655414223910000086e+09,7883.749,6559.818,0.000,nan,273.150,306.340,305.770,309.960,296.020,1119.947,1064.022,2242.088,2008.423,1.590,1.510,0.610,1.210,5.1460,-5456.8800,-7600.918,-6276.987,97174522.058
1.655414223980000019e+09,8004.111,6645.866,nan,nan,273.150,306.340,305.770,310.020,296.020,1119.457,1064.260,2244.568,2008.422,1.010,1.160,0.690,1.140,5.2139,-5530.4051,nan,nan,100106375.319
1.655414224039999962e+09,8002.919,6607.716,0.000,nan,273.150,306.340,305.770,310.020,296.090,1119.660,1064.475,2244.359,2003.089,1.360,1.350,0.690,1.840,5.2150,-5532.7033,-7720.088,-6324.885,99603930.343
1.655414224099999905e+09,7972.835,6568.023,0.000,nan,273.150,306.340,305.840,310.020,296.090,1119.521,1064.078,2245.157,2001.564,1.460,1.200,0.590,1.120,5.1903,-5504.3200,-7690.004,-6285.192,98639795.335
1.655414224170000076e+09,7959.060,6592.678,0.000,nan,273.150,306.340,305.840,310.020,296.090,1119.871,1064.293,2246.216,2007.540,1.140,1.480,0.620,1.240,5.1777,-5492.0405,-7676.229,-6309.848,98738670.986
1.655414224230000019e+09,8097.978,6737.255,nan,nan,273.150,306.340,305.840,310.020,296.150,1119.163,1064.532,2246.408,2011.769,1.520,1.180,0.620,1.420,5.2675,-5588.8524,nan,nan,102736108.174
1.655414224289999962e+09,7999.451,6664.228,nan,nan,273.150,306.340,305.840,310.020,296.150,1119.796,1064.496,2246.418,2013.074,1.320,1.210,0.620,1.270,5.2038,-5520.8189,nan,nan,100268458.493
1.655414224349999905e+09,7979.290,6652.490,0.000,nan,273.150,306.340,305.840,310.020,296.150,1119.797,1064.355,2246.358,2013.721,1.410,1.270,0.580,1.070,5.1904,-5505.8673,-7696.460,-6369.659,99808050.483
1.655414224420000076e+09,7978.201,6649.495,0.000,nan,273.150,306.340,305.840,309.960,296.150,1119.339,1063.866,2246.366,2013.337,1.340,1.210,0.480,1.050,5.1875,-5500.2644,-7695.370,-6366.664,99753127.467
1.655414224480000019e+09,8006.632,6680.705,nan,nan,273.150,306.340,305.840,309.960,296.090,1119.532,1064.274,2246.366,2014.458,1.160,1.460,0.500,1.430,5.2076,-5523.7888,nan,nan,100589899.299
1.655414224539999962e+09,8007.102,6682.233,nan,nan,273.150,306.340,305.840,309.960,296.090,1119.264,1063.988,2246.509,2014.676,1.360,1.200,0.450,1.080,5.2061,-5520.6200,nan,nan,100616698.422
1.655414224609999895e+09,8021.381,6697.304,nan,nan,273.150,306.340,305.770,309.960,296.090,1119.629,1064.478,2246.325,2015.061,1.560,1.180,0.560,1.060,5.2183,-5536.1735,nan,nan,101030622.155
