# posix time,TBV (K),TBH (K),Soil Moisture (m^3/m^3),Tau (-),T_IR (K),T_RS (K),T_ACS (K),T_Ant1 (K),T_Ant2 (K),u_RS (mV),u_ACS (mV),u_V (mV),u_H (mV),STDOM(u_RS) (mV),STDOM(u_ACS) (mV),STDOM(u_V) (mV),STDOM(u_H) (mV),Gain (K/mV),Offset (K),TBV Residual (K),TBH Residual (K),Cost Function Value (K^2)
1.667401206269999981e+09,3.353,7.385,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.662,1025.212,1037.593,1040.218,0.940,0.970,0.870,0.880,4.6237,-4723.5432,187.116,183.084,68532.169
1.667401206329999924e+09,7.151,7.686,0.400,nan,273.150,300.900,300.770,302.150,288.840,1086.251,1025.151,1038.083,1040.118,0.580,0.760,1.030,0.800,4.6501,-4750.3100,183.318,182.783,67015.122
1.667401206400000095e+09,9.169,12.086,0.400,nan,273.150,300.900,300.770,302.150,288.840,1086.178,1024.888,1038.192,1040.596,0.700,0.800,0.650,1.150,4.6358,-4734.3764,181.300,178.383,64690.393
1.667401206460000038e+09,11.789,4.284,0.400,nan,273.150,300.900,300.770,302.150,288.840,1086.631,1025.004,1038.815,1039.561,0.840,0.740,0.700,0.980,4.6105,-4708.9937,178.680,186.185,66591.279
1.667401206519999981e+09,4.195,3.925,0.400,nan,273.150,300.900,300.770,302.150,288.840,1086.094,1025.363,1037.736,1039.653,0.870,1.030,1.090,0.930,4.6785,-4780.3409,186.274,186.544,69496.510
1.667401206589999914e+09,4.032,3.207,0.400,nan,273.150,300.900,300.770,302.270,288.840,1086.759,1025.290,1037.787,1039.640,0.800,0.970,0.760,0.860,4.6223,-4722.4630,186.437,187.262,69825.657
1.667401206650000095e+09,8.946,3.730,0.400,nan,273.150,300.900,300.840,302.270,288.840,1085.802,1025.077,1038.219,1039.331,0.760,0.600,0.920,0.790,4.6786,-4779.0956,181.523,186.739,67822.074
1.667401206710000038e+09,3.234,5.284,0.400,nan,273.150,300.900,300.840,302.270,288.840,1086.451,1025.375,1037.657,1039.956,0.640,0.930,0.900,0.620,4.6516,-4752.8806,187.235,185.185,69350.756
1.667401206769999981e+09,9.217,9.196,0.400,nan,273.150,300.900,300.840,302.270,288.840,1085.919,1024.791,1038.064,1039.999,0.770,1.080,0.910,0.690,4.6476,-4746.0585,181.252,181.273,65712.252
1.667401206839999914e+09,5.592,5.691,0.400,nan,273.150,300.900,300.840,302.210,288.900,1085.898,1025.250,1037.829,1039.792,0.760,1.030,1.230,0.790,4.6844,-4785.9298,184.877,184.778,68322.329
1.667401206900000095e+09,7.854,5.686,0.400,nan,273.150,300.900,300.770,302.210,288.900,1085.911,1025.208,1038.171,1039.766,0.860,0.740,0.880,1.070,4.6807,-4781.8840,182.615,184.783,67492.977
1.667401206970000029e+09,8.533,5.829,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.407,1025.213,1038.392,1039.911,0.830,0.580,0.850,1.120,4.6430,-4743.2903,181.936,184.640,67192.638
1.667401207029999971e+09,7.971,8.847,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.294,1025.297,1038.342,1040.422,1.310,0.890,0.890,0.810,4.6581,-4759.1281,182.498,181.622,66291.869
1.667401207089999914e+09,7.686,9.393,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.677,1024.607,1037.834,1040.085,0.890,1.050,1.110,0.640,4.5775,-4673.4019,182.783,181.076,66198.266
1.667401207160000086e+09,5.069,8.715,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.474,1025.059,1037.716,1040.267,1.110,0.890,0.990,0.840,4.6264,-4725.5146,185.400,181.754,67407.915
1.667401207220000029e+09,6.649,2.482,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.286,1025.300,1038.126,1039.423,0.700,1.010,0.980,0.860,4.6589,-4759.9630,183.820,187.987,69129.191
1.667401207279999971e+09,8.863,5.586,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.332,1024.811,1038.115,1039.549,1.050,0.860,0.880,0.790,4.6184,-4716.2123,181.607,184.883,67162.682
1.667401207339999914e+09,7.105,6.319,0.400,nan,273.150,300.900,300.840,302.210,288.840,1086.351,1025.045,1038.010,1039.844,0.520,0.730,0.590,1.200,4.6342,-4733.4880,183.364,184.150,67533.479
1.667401207410000086e+09,10.053,3.990,0.400,nan,273.150,300.900,300.840,302.210,288.840,1085.878,1025.222,1038.529,1039.500,1.110,1.120,0.880,0.950,4.6838,-4785.1424,180.416,186.480,67324.703
1.667401207470000029e+09,8.135,9.592,0.400,nan,273.150,300.900,300.840,302.210,288.840,1086.169,1024.524,1037.731,1039.924,0.770,0.700,0.930,0.860,4.6087,-4704.9559,182.334,180.878,65962.339
1.667401207529999971e+09,9.357,8.668,0.400,nan,273.150,300.900,300.840,302.270,288.960,1086.188,1024.780,1038.137,1039.975,0.670,0.840,0.630,0.930,4.6265,-4724.3229,181.112,181.801,65853.111
1.667401207599999905e+09,9.379,5.332,0.400,nan,273.150,300.900,300.840,302.270,288.960,1085.886,1024.880,1038.154,1039.451,0.890,0.900,0.800,0.790,4.6570,-4756.0391,181.090,185.137,67069.462
1.667401207660000086e+09,10.349,7.459,0.400,nan,273.150,300.900,300.840,302.270,288.960,1085.697,1024.430,1037.919,1039.399,0.700,0.840,0.880,0.990,4.6371,-4733.5710,180.120,183.010,65935.997
1.667401207720000029e+09,6.452,6.759,0.400,nan,273.150,300.900,300.840,302.270,288.960,1086.752,1025.256,1038.153,1040.170,0.810,0.580,0.900,0.740,4.6198,-4719.6590,184.017,183.710,67611.680
1.667401207779999971e+09,5.333,6.800,0.400,nan,273.150,300.900,300.840,302.210,288.900,1086.057,1024.715,1037.395,1039.598,0.960,0.770,0.920,0.880,4.6315,-4729.1307,185.136,183.669,68009.806
1.667401207849999905e+09,6.501,4.608,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.103,1025.196,1037.982,1039.634,0.810,0.990,0.810,1.090,4.6649,-4765.7077,183.969,185.861,68388.688
1.667401207910000086e+09,8.455,6.616,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.366,1024.926,1038.146,1039.808,0.950,0.930,0.830,0.750,4.6244,-4722.9449,182.014,183.853,66931.064
1.667401207970000029e+09,9.707,4.498,0.400,nan,273.150,300.900,300.770,302.210,288.900,1086.296,1024.934,1038.342,1039.462,0.720,0.760,0.690,1.000,4.6303,-4728.9972,180.762,185.971,67260.141
1.667401208039999962e+09,6.280,7.713,0.400,nan,273.150,300.900,300.770,302.270,288.900,1086.105,1025.466,1038.160,1040.325,1.050,0.820,0.830,0.730,4.6855,-4788.0918,184.190,182.756,67325.708
1.667401208099999905e+09,8.775,4.107,0.400,nan,273.150,300.900,300.840,302.270,288.900,1086.413,1025.256,1038.463,1039.671,0.790,1.000,0.820,0.610,4.6454,-4745.9697,181.694,186.362,67743.410
1.667401266259999990e+09,7.164,6.809,0.400,nan,273.150,301.400,301.210,302.900,288.520,1086.468,1024.958,1037.954,1039.862,0.840,1.140,0.570,0.410,4.6248,-4723.2623,183.305,183.660,67331.756
1.667401266319999933e+09,4.655,3.261,0.400,nan,273.150,301.400,301.210,302.900,288.520,1086.144,1025.178,1037.650,1039.395,0.820,1.080,0.990,0.950,4.6661,-4766.6206,185.814,187.208,69573.795
1.667401266390000105e+09,8.861,4.295,0.400,nan,273.150,301.400,301.210,302.900,288.460,1085.898,1024.601,1037.831,1039.058,0.680,0.800,0.800,1.080,4.6409,-4738.1356,181.608,186.174,67642.349
1.667401266450000048e+09,6.208,11.120,0.400,nan,273.150,301.400,301.210,302.900,288.460,1085.629,1024.586,1037.327,1040.054,0.730,0.960,0.930,0.620,4.6602,-4757.8576,184.261,179.349,66118.215
