#,TerraRad,Tech,AG
#,PoLRa,3.2
#,SN:,08
#,FW,version:,v3.2.3
#,offsetHPol:,4.843296579859171
#,offsetVPol:,4.726970800268247
#,timezone:,CET
Year,Month,Day,Time,UnixTime,uacs,urs,up1,up2,Tir,Tacs,Trs,Taux,Tp1,uacs_std,urs_std,up1_std,up2_std,nsubsamp,t_1s,t_line
2022,11,02,11:00:05,1667383205.98,997.1019,1054.4204,1047.6973,1047.9843,0.00,310.09,309.77,312.34,297.21,1.12,0.81,1.12,1.04,25,16.06,63.03
2022,11,02,11:00:06,1667383206.05,997.6293,1054.6262,1048.3066,1047.7786,0.00,310.09,309.77,312.34,297.21,1.34,0.76,0.91,0.92,25,15.84,62.54
2022,11,02,11:00:06,1667383206.11,996.9986,1054.7861,1047.8867,1047.7028,0.00,310.09,309.77,312.34,297.46,0.70,1.04,0.62,0.76,25,15.88,62.88
2022,11,02,11:00:06,1667383206.17,997.3821,1054.2203,1048.3227,1046.9848,0.00,310.09,309.77,312.34,297.46,0.95,0.87,1.09,0.64,25,15.92,62.93
2022,11,02,11:00:06,1667383206.23,997.0169,1053.8149,1047.9304,1047.5450,0.00,310.09,309.77,312.40,297.46,1.04,0.99,1.04,0.80,25,15.83,62.86
2022,11,02,11:00:06,1667383206.30,996.8868,1054.4742,1048.5283,1047.2258,0.00,310.09,309.77,312.40,297.46,0.62,0.94,0.90,0.83,25,15.90,62.94
2022,11,02,11:00:06,1667383206.36,996.2208,1054.2173,1048.6511,1047.8457,0.00,310.09,309.77,312.40,297.40,1.09,0.80,0.89,1.01,25,16.07,62.78
2022,11,02,11:00:06,1667383206.42,997.3521,1054.5790,1048.4822,1047.8050,0.00,310.09,309.77,312.27,297.40,0.75,0.73,1.01,0.98,25,15.84,62.57
2022,11,02,11:00:06,1667383206.49,997.3357,1054.9215,1048.7483,1048.0971,0.00,310.09,309.77,312.27,297.40,0.70,1.01,0.88,1.08,25,15.86,62.62
2022,11,02,11:00:06,1667383206.55,996.8998,1054.2338,1047.7816,1047.1983,0.00,310.09,309.77,312.27,297.40,0.83,1.08,0.91,0.89,25,15.88,62.61
2022,11,02,11:00:06,1667383206.61,996.4262,1054.5819,1047.8236,1047.8572,0.00,310.09,309.77,312.27,297.34,1.12,0.54,1.19,0.69,25,15.85,62.86
2022,11,02,11:00:06,1667383206.68,997.2087,1054.9891,1048.5777,1047.8741,0.00,310.09,309.77,312.34,297.34,0.86,0.83,1.01,1.00,25,15.98,64.62
2022,11,02,11:00:06,1667383206.74,997.7658,1054.7510,1048.8255,1047.9751,0.00,310.09,309.77,312.34,297.34,0.94,0.86,0.78,0.74,25,16.44,64.95
2022,11,02,11:00:06,1667383206.81,997.3162,1054.5698,1048.5732,1048.2949,0.00,310.09,309.77,312.34,297.27,0.69,1.07,0.89,0.99,25,16.29,64.17
2022,11,02,11:00:06,1667383206.87,997.8474,1054.4623,1048.3827,1047.9312,0.00,310.09,309.77,312.34,297.27,0.97,1.25,0.89,1.10,25,15.99,63.84
2022,11,02,11:00:06,1667383206.93,997.4181,1054.4263,1048.0178,1047.5985,0.00,310.09,309.77,312.34,297.27,1.05,1.25,1.01,0.68,25,16.07,63.48
2022,11,02,11:00:06,1667383207.00,997.6890,1054.5584,1048.3323,1047.6972,0.00,310.09,309.77,312.34,297.27,0.82,0.81,1.10,0.63,25,16.21,64.11
2022,11,02,11:00:07,1667383207.06,996.8225,1054.7225,1048.1988,1048.3666,0.00,310.09,309.77,312.34,297.34,0.96,0.84,0.74,0.91,25,16.28,64.22
2022,11,02,11:00:07,1667383207.13,996.9817,1054.8516,1048.0626,1047.7215,0.00,310.09,309.77,312.34,297.34,0.95,0.78,1.09,0.82,25,16.24,63.54
2022,11,02,11:00:07,1667383207.19,997.4108,1054.7358,1048.1713,1047.8320,0.00,310.09,309.77,312.34,297.34,0.94,0.69,1.03,0.72,25,16.26,64.16
2022,11,02,11:00:07,1667383207.26,997.8234,1054.1315,1048.8499,1048.0163,0.00,310.09,309.77,312.34,297.34,0.71,0.77,0.96,0.67,25,16.03,63.64
2022,11,02,11:00:07,1667383207.32,997.2170,1054.9305,1047.8639,1048.6334,0.00,310.09,309.77,312.34,297.65,0.83,0.74,0.87,0.73,25,16.28,64.18
2022,11,02,11:00:07,1667383207.38,996.9156,1054.4937,1048.3865,1048.4298,0.00,310.09,309.77,312.34,297.65,1.00,0.89,0.87,0.76,25,16.28,64.18
2022,11,02,11:00:07,1667383207.45,996.8139,1055.1761,1048.6363,1047.6300,0.00,310.09,309.77,312.34,297.65,1.07,0.86,0.83,0.70,25,16.30,63.92
2022,11,02,11:00:07,1667383207.51,997.4958,1054.4671,1048.5164,1047.7330,0.00,310.09,309.77,312.34,297.65,0.89,1.35,0.74,0.76,25,16.26,64.15
2022,11,02,11:00:07,1667383207.58,997.6131,1054.3645,1048.3416,1048.0427,0.00,310.09,309.84,312.34,297.27,0.92,0.53,0.90,0.89,25,16.23,64.18
2022,11,02,11:00:07,1667383207.64,996.8060,1053.5484,1049.3940,1048.0964,0.00,310.09,309.84,312.34,297.27,0.80,1.08,1.04,0.56,25,16.12,64.06
2022,11,02,11:00:07,1667383207.71,997.3085,1054.5743,1048.1771,1048.0083,0.00,310.09,309.84,312.34,297.27,0.95,0.91,0.90,0.96,25,16.18,63.81
2022,11,02,11:00:07,1667383207.77,997.2920,1054.7253,1048.3726,1047.9269,0.00,310.09,309.84,312.34,297.21,0.86,1.32,1.06,0.59,25,16.30,64.17
